City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,cherskiy,68.75,161.3,-17.49,93,100,3.49,RU,1679250408
130,torbay,47.6666,-52.7314,5.53,97,100,5.14,CA,1679250408
131,kupino,54.3663,77.2981,-18.61,98,7,3.03,RU,1679250409
132,salalah,17.0151,54.0924,27.05,83,75,2.57,OM,1679250301
133,tevriz,57.509,72.4042,-14.86,96,24,1.39,RU,1679250409
134,vao,-22.6667,167.4833,25.07,78,99,10.11,NC,1679250410
135,manokwari,-0.8667,134.0833,25.55,84,100,2.58,ID,1679250412
136,coffs harbour,-30.3,153.1333,22.98,83,6,6.17,AU,1679250271
137,cocorit,27.5833,-109.9667,24.19,40,83,3.24,MX,1679250413
138,broome,42.2506,-75.833,0.61,58,100,7.72,US,1679250414
139,denpasar,-8.65,115.2167,27.81,83,40,2.57,ID,1679250225
140,pandan,14.0453,124.1694,22.85,78,49,2.85,PH,1679250415
141,sitka,57.0531,-135.33,1.94,93,100,1.54,US,1679250415
142,matara,5.9485,80.5353,25.8,84,12,0.74,LK,1679250416
143,zhezkazgan,47.8043,67.7144,-3.87,75,100,9.27,KZ,1679250416
144,severo-kurilsk,50.6789,156.125,-4.64,83,99,4.74,RU,1679250417
145,embonas,36.2269,27.8564,13.07,69,28,8.51,GR,1679250417
146,vardo,70.3705,31.1107,-5.01,80,81,11.32,NO,1679250418
147,roma,43.2128,-75.4557,-1.84,81,100,10.8,US,1679250281
148,talnakh,69.4865,88.3972,-28.3,97,99,4.68,RU,1679250419
149,castro,-24.7911,-50.0119,25.92,58,16,2.39,BR,1679250343
150,bambous virieux,-20.3428,57.7575,26.14,89,40,0.51,MU,1679250323
151,manaus,-3.1019,-60.025,32.28,66,75,3.09,BR,1679250311
152,provideniya,64.3833,-173.3,-6.89,96,100,1.69,RU,1679250420
153,dingle,10.9995,122.6711,23.44,93,92,3.37,PH,1679250420
154,ribeira grande,38.5167,-28.7,16.22,72,40,9.77,PT,1679250421
155,puerto ayora,-0.7393,-90.3518,29.98,82,36,4.92,EC,1679250421
156,aklavik,68.2191,-135.0107,-14.0,72,75,4.12,CA,1679250348
157,hue,16.4667,107.6,23.06,94,40,1.54,VN,1679250309
158,dali,25.7,100.1833,9.58,88,78,2.48,CN,1679250422
159,mahebourg,-20.4081,57.7,26.16,89,40,0.51,MU,1679250423
160,norman wells,65.282,-126.8329,-6.98,63,75,4.12,CA,1679250178
161,palembang,-2.9167,104.7458,25.05,94,75,0.0,ID,1679250424
162,longyearbyen,78.2186,15.6401,-16.09,55,20,6.17,SJ,1679250424
163,ilhabela,-23.7781,-45.3581,26.63,80,12,1.9,BR,1679250425
164,ostrovnoy,68.0531,39.5131,-6.54,89,75,5.41,RU,1679250425
165,visby,57.6409,18.296,3.12,100,100,3.6,SE,1679250426
166,kaitangata,-46.2817,169.8464,13.08,89,88,2.41,NZ,1679250427
167,mortka,59.3322,66.0214,-5.85,81,100,3.21,RU,1679250427
168,inverness,57.4791,-4.224,6.95,84,75,0.0,GB,1679250209
169,zyryanka,65.75,150.85,-21.85,95,100,7.57,RU,1679250428
170,tubuala,9.5167,-79.0333,27.06,78,56,4.53,PA,1679250429
171,liverpool,53.4106,-2.9779,9.6,76,40,3.09,GB,1679250230
172,almeria,37.1667,-2.3333,13.21,61,50,2.78,ES,1679250429
173,sao filipe,14.8961,-24.4956,24.1,69,6,6.53,CV,1679250430
174,torit,4.4133,32.5678,29.03,46,88,1.42,SS,1679250430
175,constitucion,-35.3333,-72.4167,22.1,60,7,6.69,CL,1679250431
176,grand gaube,-20.0064,57.6608,26.22,81,10,2.7,MU,1679250431
177,asyut,27.181,31.1837,19.1,32,1,4.61,EG,1679250432
178,berlevag,70.8578,29.0864,-1.0,74,20,12.35,NO,1679250433
179,olafsvik,64.8945,-23.7142,-3.62,63,74,7.77,IS,1679250435
180,at-bashi,41.1702,75.8106,-8.09,87,61,0.69,KG,1679250435
181,pevek,69.7008,170.3133,-11.18,91,100,4.91,RU,1679250340
182,salinopolis,-0.6136,-47.3561,27.23,72,36,3.74,BR,1679250437
183,taitung,22.7583,121.1444,21.51,86,57,1.32,TW,1679250437
184,aitape,-3.1374,142.3475,25.06,87,79,1.42,PG,1679250438
185,kiama,-34.6833,150.8667,22.54,89,90,0.89,AU,1679250438
186,anadyr,64.75,177.4833,-7.72,85,75,3.0,RU,1679250439
187,pandamatenga,-18.5278,25.627,20.54,71,56,2.56,BW,1679250440
188,kavieng,-2.5744,150.7967,26.81,80,30,3.53,PG,1679250440
189,parrsboro,45.4001,-64.332,3.48,70,30,6.26,CA,1679250441
190,meridian,43.6121,-116.3915,8.17,48,0,7.2,US,1679250441
191,tual,-5.6667,132.75,28.15,72,99,1.61,ID,1679250442
192,umm kaddadah,13.6017,26.6876,28.1,10,26,6.02,SD,1679250443
193,yinchuan,38.4681,106.2731,9.13,35,11,2.63,CN,1679250443
194,east london,-33.0153,27.9116,23.52,83,75,4.63,ZA,1679250444
195,isagarh,24.8333,77.8833,20.01,65,89,3.99,IN,1679250444
196,benguela,-12.5763,13.4055,26.59,80,28,1.48,AO,1679250445
197,mogadouro,41.3403,-6.7119,14.59,56,98,0.74,PT,1679250445
198,sao joao da barra,-21.6403,-41.0511,31.05,75,15,5.1,BR,1679250446
199,hualmay,-11.0964,-77.6139,26.07,66,35,4.41,PE,1679250447
200,leogane,18.5108,-72.6339,33.11,53,0,2.76,HT,1679250447
201,bathsheba,13.2167,-59.5167,29.34,58,40,10.29,BB,1679250448
202,podor,16.6527,-14.9587,38.74,8,0,5.22,MR,1679250448
203,da nang,16.0678,108.2208,24.99,88,75,1.03,VN,1679250449
204,nemuro,43.3236,145.575,1.12,76,50,5.58,JP,1679250449
205,massakory,12.996,15.7293,31.71,33,100,5.39,TD,1679250450
206,oranjemund,-28.55,16.4333,17.71,89,99,3.73,NA,1679250450
207,progreso,21.2833,-89.6667,22.28,81,69,11.36,MX,1679250451
208,ciulnita,44.5333,27.35,10.89,54,60,2.0,RO,1679250451
209,kahului,20.8947,-156.47,26.58,78,0,2.06,US,1679250452
210,san andres,12.5847,-81.7006,31.01,58,20,4.63,CO,1679250453
211,mocajuba,-2.5842,-49.5072,28.36,76,44,1.75,BR,1679250453
212,lekoni,-1.5843,14.2591,23.38,81,91,0.87,GA,1679250454
213,plettenberg bay,-34.0527,23.3716,19.21,92,100,1.85,ZA,1679250454
214,tevaitoa,-16.7833,-151.5,27.72,71,92,3.96,PF,1679250455
215,elko,41.0002,-115.5012,3.36,54,100,0.89,US,1679250438
216,mantua,45.1667,10.7833,14.08,86,100,2.66,IT,1679250455
217,saint george,37.1041,-113.5841,13.47,33,0,6.17,US,1679250457
218,port lincoln,-34.7333,135.8667,17.19,69,65,10.2,AU,1679250458
219,port hedland,-20.3167,118.5667,27.03,65,0,2.57,AU,1679250432
220,khatanga,71.9667,102.5,-38.02,100,66,3.24,RU,1679250283
221,khorixas,-20.3667,14.9667,24.01,33,47,6.93,NA,1679250460
222,aswan,24.0934,32.907,24.61,13,0,5.66,EG,1679250333
223,boffa,10.1667,-14.0333,26.95,65,24,6.02,GN,1679250461
224,acari,-15.4311,-74.6158,29.48,54,78,4.89,PE,1679250461
225,dudinka,69.4058,86.1778,-23.06,98,94,6.52,RU,1679250462
226,vila velha,-20.3297,-40.2925,29.97,75,20,5.66,BR,1679250462
227,rodrigues alves,-7.738,-72.6509,27.11,44,80,1.56,BR,1679250463
228,alindao,5.0267,21.2088,24.47,66,84,1.11,CF,1679250464
229,heihe,50.2441,127.4902,4.32,79,28,2.03,CN,1679250464
230,tonk,26.1667,75.7833,21.43,58,76,4.24,IN,1679250465
231,shakawe,-18.3667,21.85,24.91,46,37,3.36,BW,1679250465
232,cayenne,4.9333,-52.3333,30.02,66,63,7.2,GF,1679250308
233,los andes,-32.8337,-70.5983,31.67,20,1,3.64,CL,1679250466
234,upernavik,72.7868,-56.1549,-26.74,98,98,5.59,GL,1679250380
235,boras,57.721,12.9401,8.24,94,98,3.06,SE,1679250467
236,solnechnyy,50.7214,136.6319,-3.06,78,10,2.19,RU,1679250467
237,axim,4.8699,-2.2405,27.87,77,54,4.33,GH,1679250468
238,zarubino,42.63,131.0922,2.58,65,0,1.97,RU,1679250468
239,road town,18.4167,-64.6167,27.05,70,84,9.29,VG,1679250469
240,petrozavodsk,61.7849,34.3469,0.7,69,100,1.0,RU,1679250469
241,ornskoldsvik,63.2909,18.7153,-1.47,100,100,3.6,SE,1679250329
242,salta,-24.7859,-65.4117,30.33,46,20,3.09,AR,1679250470
243,zyuzelskiy,56.4856,60.1331,-5.09,80,81,2.45,RU,1679250471
244,tuatapere,-46.1333,167.6833,15.03,83,100,3.73,NZ,1679250471
245,tarakan,3.3,117.6333,26.33,81,93,1.79,ID,1679250472
246,bayan,46.0833,127.4,1.44,44,0,3.56,CN,1679250472
247,kefamenanu,-9.4467,124.4781,21.23,96,74,1.41,ID,1679250473
248,narsaq,60.9167,-46.05,0.91,69,100,3.04,GL,1679250473
249,faanui,-16.4833,-151.75,27.65,67,99,4.41,PF,1679250474
250,pedernales,18.0384,-71.744,28.76,53,2,2.46,DO,1679250474
251,arraial do cabo,-22.9661,-42.0278,31.98,66,20,7.2,BR,1679250475
252,karatau,43.1667,70.4667,3.99,64,77,1.55,KZ,1679250475
253,ballarat,-37.5662,143.8496,10.32,91,55,1.79,AU,1679250476
254,tortoli,39.9256,9.6572,13.9,82,40,5.14,IT,1679250180
255,belousovka,50.1339,82.5239,-8.53,79,75,10.0,KZ,1679250477
256,ankazoabo,-22.2833,44.5167,22.78,83,19,2.71,MG,1679250477
257,mahanoro,-19.9,48.8,25.68,89,84,3.07,MG,1679250486
258,laguna,38.421,-121.4238,12.73,87,100,9.26,US,1679250487
259,ponta do sol,32.6667,-17.1,20.07,78,74,1.16,PT,1679250487
260,bogale,16.2833,95.4,25.31,72,16,3.92,MM,1679250488
261,ejura,7.3856,-1.3562,28.13,52,100,1.03,GH,1679250488
262,hasaki,35.7333,140.8333,7.9,62,21,3.91,JP,1679250427
263,yarmouth,41.7057,-70.2286,6.09,41,0,8.23,US,1679250489
264,benjamin constant,-4.3831,-70.0311,27.07,83,20,2.57,BR,1679250490
265,fairbanks,64.8378,-147.7164,-3.0,74,75,2.57,US,1679250490
266,chicama,-7.8447,-79.1469,28.3,62,45,4.58,PE,1679250491
267,port blair,11.6667,92.75,28.02,83,20,1.03,IN,1679250491
268,port-gentil,-0.7193,8.7815,27.98,83,40,2.06,GA,1679250492
269,upala,10.8979,-85.0145,30.09,48,24,2.3,CR,1679250492
270,roebourne,-20.7833,117.1333,30.37,58,5,1.57,AU,1679250493
271,perehonivka,48.5355,30.5192,6.77,52,4,2.5,UA,1679250493
272,robertsport,6.7533,-11.3686,26.71,80,69,5.91,LR,1679250494
273,uray,60.1247,64.7758,-4.88,80,100,5.1,RU,1679250495
274,puerto carreno,6.189,-67.4859,33.99,38,0,5.14,CO,1679250495
275,qasigiannguit,68.8193,-51.1922,-2.86,80,100,0.79,GL,1679250496
276,newport,51.5877,-2.9984,9.15,79,97,4.28,GB,1679250483
277,san fernando,15.0286,120.6898,24.85,82,91,1.54,PH,1679250497
278,rio verde de mato grosso,-18.9181,-54.8442,26.33,78,92,5.35,BR,1679250497
279,broken hill,-31.95,141.4333,21.6,46,68,8.61,AU,1679250498
280,tiptur,13.2586,76.4783,21.63,57,21,4.68,IN,1679250499
281,tarnos,43.5417,-1.4628,13.12,76,20,2.06,FR,1679250499
282,saint-pierre,-21.3393,55.4781,26.82,74,0,1.03,RE,1679250500
283,guerrero negro,27.9769,-114.0611,21.59,32,10,1.25,MX,1679250469
284,metsavan,41.2016,44.2288,4.41,99,100,2.05,AM,1679250501
285,soyo,-6.1349,12.3689,26.95,77,36,2.98,AO,1679250502
286,ilulissat,69.2167,-51.1,-2.99,50,75,2.06,GL,1679250503
287,hit,33.6416,42.8251,19.41,33,3,0.35,IQ,1679250504
288,coquimbo,-29.9533,-71.3436,21.85,73,20,7.72,CL,1679250436
289,kelo,9.3086,15.8066,30.77,37,86,2.44,TD,1679250505
290,cururupu,-1.8283,-44.8683,27.18,85,45,0.82,BR,1679250506
291,samarai,-10.6167,150.6667,28.28,78,8,6.22,PG,1679250507
292,isangel,-19.55,169.2667,25.22,87,95,6.18,VU,1679250508
293,half moon bay,37.4636,-122.4286,13.97,90,75,5.14,US,1679250300
294,gediz,39.0417,29.41,5.58,92,100,4.8,TR,1679250508
295,pontianak,-0.0333,109.3333,24.99,94,100,0.51,ID,1679250509
296,bandarbeyla,9.4942,50.8122,26.96,79,93,2.63,SO,1679250510
297,nome,64.5011,-165.4064,-21.96,84,0,0.0,US,1679250510
298,flinders,-34.5833,150.8552,22.43,88,76,1.79,AU,1679250511
299,richards bay,-28.783,32.0377,24.0,94,4,0.98,ZA,1679250511
300,dickinson,29.4608,-95.0513,13.93,38,0,4.63,US,1679250512
301,gisborne,-38.6533,178.0042,15.9,90,58,2.64,NZ,1679250513
302,realeza,-25.7689,-53.5325,31.38,41,9,1.13,BR,1679250514
303,champerico,14.3,-91.9167,35.3,61,9,4.73,GT,1679250514
304,sept-iles,50.2001,-66.3821,1.7,68,75,9.26,CA,1679250242
305,birao,10.2849,22.7882,32.13,23,77,1.43,CF,1679250515
306,nipawin,53.3668,-104.0009,-5.98,93,100,5.14,CA,1679250516
307,vostok,46.4856,135.8833,-6.79,90,53,2.74,RU,1679250516
308,yerbogachen,61.2767,108.0108,-17.42,95,100,5.69,RU,1679250517
309,yubileynyy,58.781,57.7778,-6.12,80,100,3.22,RU,1679250517
310,sambava,-14.2667,50.1667,25.91,85,89,2.12,MG,1679250368
311,antalaha,-14.9003,50.2788,25.5,87,93,1.97,MG,1679250518
312,kangaatsiaq,68.3065,-53.4641,-6.96,87,100,5.32,GL,1679250518
313,dong hoi,17.4833,106.6,21.72,95,87,2.28,VN,1679250519
314,polewali,-3.4324,119.3435,25.48,90,98,0.35,ID,1679250519
315,kirakira,-10.4544,161.9205,26.06,83,27,0.62,SB,1679250520
316,meulaboh,4.1363,96.1285,25.72,86,100,0.95,ID,1679250520
317,sulangan,11.1373,123.7228,26.08,80,92,7.43,PH,1679250521
318,hirtshals,57.5881,9.9592,7.45,96,88,4.36,DK,1679250521
319,kiunga,-6.1219,141.2906,22.92,100,100,0.53,PG,1679250522
320,nizhneudinsk,54.9076,99.0276,-1.6,95,75,1.72,RU,1679250522
321,vestmannaeyjar,63.4427,-20.2734,3.55,65,40,5.14,IS,1679250523
322,hami,42.8,93.45,9.22,34,78,3.6,CN,1679250523
323,georgiyevka,43.0369,74.7114,0.02,74,0,2.0,KZ,1679250524
324,shirvan,39.9509,48.8994,12.41,82,100,3.76,AZ,1679250524
325,taltal,-25.4,-70.4833,22.14,71,43,2.18,CL,1679250525
326,kodiak,57.79,-152.4072,-1.27,80,0,1.54,US,1679250525
327,lensk,60.7253,114.9278,-12.88,95,100,3.96,RU,1679250526
328,laon,49.5667,3.6667,8.42,81,84,3.62,FR,1679250527
329,nobres,-14.7203,-56.3275,24.47,89,100,1.83,BR,1679250528
330,terrace,54.5163,-128.6035,5.95,56,100,4.12,CA,1679250528
331,saskylakh,71.9167,114.0833,-28.71,98,100,2.86,RU,1679250298
332,cabo san lucas,22.8909,-109.9124,25.9,69,0,4.12,MX,1679250266
333,camana,-16.6228,-72.7111,25.56,75,80,3.53,PE,1679250529
334,kodinsk,58.6881,99.1844,-10.27,94,100,4.79,RU,1679250530
335,ouesso,1.6136,16.0517,21.66,88,97,0.92,CG,1679250530
336,salina,38.8403,-97.6114,8.34,28,0,8.23,US,1679250378
337,puerto madero,14.7208,-92.4215,33.11,58,20,3.6,MX,1679250531
338,manuk mangkaw,4.8,119.85,28.07,76,99,4.25,PH,1679250532
339,havoysund,70.9963,24.6622,0.13,91,100,3.2,NO,1679250532
